PDB_Number,Description,PDBFileLink,PaperDate,PageLink,FastaLink,Authors,Method,Resolution,OriginalIndex,noNucleotideEntities,hasMRNA,containsS12
6B4V,Antibiotic blasticidin S and E. coli release factor 1 bound to the 70S ribosome,http://files.rcsb.org/download/6B4V.cif.gz,(2018) J Mol Biol ,http://www.rcsb.org/structure/6B4V,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=6B4V&compressionType=uncompressed,"Svidritskiy, E., Korostelev, A.A.",X-RAY DIFFRACTION,3.4,1,FALSE,TRUE,TRUE
6BU8,70S ribosome with S1 domains 1 and 2 (Class 1),http://files.rcsb.org/download/6BU8.cif.gz,(2017) Methods ,http://www.rcsb.org/structure/6BU8,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=6BU8&compressionType=uncompressed,"Loveland, A.B., Korostelev, A.A.",ELECTRON MICROSCOPY,3.5,2,FALSE,TRUE,TRUE
5NDK,"Crystal structure of aminoglycoside TC007 co-crystallized with 70S ribosome from Thermus thermophilus, three tRNAs and mRNA",http://files.rcsb.org/download/5NDK.cif.gz,(2017) Proc Natl Acad Sci U S A 114 E10899-E10908,http://www.rcsb.org/structure/5NDK,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5NDK&compressionType=uncompressed,"Prokhorova, I., Djumagulov, M., Urzhumtsev, A., Yusupov, M., Yusupova, G.",X-RAY DIFFRACTION,2.95,3,FALSE,TRUE,TRUE
6AZ1,Cryo-EM structure of the small subunit of Leishmania ribosome bound to paromomycin,http://files.rcsb.org/download/6AZ1.cif.gz,(2017) Nat Commun 8 1589-1589,http://www.rcsb.org/structure/6AZ1,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=6AZ1&compressionType=uncompressed,"Shalev-Benami, M., Zhang, Y., Rozenberg, H., Matzov, D., Zimmerman, E., Bashan, A., Jaffe, C.L., Yonath, A., Skiniotis, G.",ELECTRON MICROSCOPY,2.7,4,FALSE,TRUE,TRUE
6ENF,Cryo-EM structure of a polyproline-stalled ribosome in the absence of EF-P,http://files.rcsb.org/download/6ENF.cif.gz,(2017) Mol Cell 68 515-527.e6,http://www.rcsb.org/structure/6ENF,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=6ENF&compressionType=uncompressed,"Huter, P., Arenz, S., Wilson, D.N.",ELECTRON MICROSCOPY,3.2,5,FALSE,TRUE,TRUE
6ENJ,Polyproline-stalled ribosome in the presence of A+P site tRNA and elongation-factor P (EF-P),http://files.rcsb.org/download/6ENJ.cif.gz,(2017) Mol Cell 68 515-527.e6,http://www.rcsb.org/structure/6ENJ,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=6ENJ&compressionType=uncompressed,"Huter, P., Wilson, D.N.",ELECTRON MICROSCOPY,3.7,6,FALSE,TRUE,TRUE
6ENU,Polyproline-stalled ribosome in the presence of elongation-factor P (EF-P),http://files.rcsb.org/download/6ENU.cif.gz,(2017) Mol Cell 68 515-527.e6,http://www.rcsb.org/structure/6ENU,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=6ENU&compressionType=uncompressed,"Huter, P., Arenz, S., Wilson, D.N.",ELECTRON MICROSCOPY,3.1,7,FALSE,TRUE,TRUE
5W4K,"Crystal structure of the Thermus thermophilus 70S ribosome in complex with Klebsazolicin and bound to mRNA and A-, P- and E-site tRNAs at 2.7A resolution",http://files.rcsb.org/download/5W4K.cif.gz,(2017) Nat Chem Biol 13 1129-1136,http://www.rcsb.org/structure/5W4K,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5W4K&compressionType=uncompressed,"Metelev, M., Osterman, I.A., Ghilarov, D., Khabibullina, N.F., Yakimov, A., Shabalin, K., Utkina, I., Travin, D.Y., Komarova, E.S., Serebryakova, M., Artamonova, T., Khodorko",X-RAY DIFFRACTION,2.7,8,FALSE,TRUE,TRUE
5OA3,Human 40S-eIF2D-re-initiation complex,http://files.rcsb.org/download/5OA3.cif.gz,(2017) Mol Cell 67 447-456.e7,http://www.rcsb.org/structure/5OA3,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5OA3&compressionType=uncompressed,"Weisser, M., Schaefer, T., Leibundgut, M., Boehringer, D., Aylett, C.H.S., Ban, N.",ELECTRON MICROSCOPY,4.2,9,FALSE,TRUE,TRUE
5O2R,Cryo-EM structure of the proline-rich antimicrobial peptide Api137 bound to the terminating ribosome,http://files.rcsb.org/download/5O2R.cif.gz,(2017) Nat Struct Mol Biol 24 752-757,http://www.rcsb.org/structure/5O2R,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5O2R&compressionType=uncompressed,"Graf, M., Berninghausen, O., Beckmann, R., Wilson, D.N.",ELECTRON MICROSCOPY,3.4,10,FALSE,TRUE,TRUE
5NWY,2.9 A cryo-EM structure of VemP-stalled ribosome-nascent chain complex,http://files.rcsb.org/download/5NWY.cif.gz,(2017) Elife 6 ,http://www.rcsb.org/structure/5NWY,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5NWY&compressionType=uncompressed,"Su, T., Cheng, J., Sohmen, D., Hedman, R., Berninghausen, O., von Heijne, G., Wilson, D.N., Beckmann, R.",ELECTRON MICROSCOPY,2.9,11,FALSE,TRUE,TRUE
5O5J,Structure of the 30S small ribosomal subunit from Mycobacterium smegmatis,http://files.rcsb.org/download/5O5J.cif.gz,(2017) Cell Rep 20 149-160,http://www.rcsb.org/structure/5O5J,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5O5J&compressionType=uncompressed,"Hentschel, J., Burnside, C., Mignot, I., Leibundgut, M., Boehringer, D., Ban, N.",ELECTRON MICROSCOPY,3.45,12,FALSE,TRUE,TRUE
5O61,The complete structure of the Mycobacterium smegmatis 70S ribosome,http://files.rcsb.org/download/5O61.cif.gz,(2017) Cell Rep 20 149-160,http://www.rcsb.org/structure/5O61,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5O61&compressionType=uncompressed,"Hentschel, J., Burnside, C., Mignot, I., Leibundgut, M., Boehringer, D., Ban, N.",ELECTRON MICROSCOPY,3.31,13,FALSE,TRUE,TRUE
5VP2,"Crystal structure of the Thermus thermophilus 70S ribosome in complex with madumycin II and bound to mRNA and A-, P- and E-site tRNAs at 2.8A resolution",http://files.rcsb.org/download/5VP2.cif.gz,(2017) Nucleic Acids Res 45 7507-7514,http://www.rcsb.org/structure/5VP2,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5VP2&compressionType=uncompressed,"Osterman, I.A., Khabibullina, N.F., Komarova, E.S., Kasatsky, P., Kartsev, V.G., Bogdanov, A.A., Dontsova, O.A., Konevega, A.L., Sergiev, P.V., Polikanov, Y.S.",X-RAY DIFFRACTION,2.8,14,FALSE,TRUE,TRUE
5NP6,70S structure prior to bypassing,http://files.rcsb.org/download/5NP6.cif.gz,(2017) Sci Adv 3 e1700147-e1700147,http://www.rcsb.org/structure/5NP6,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5NP6&compressionType=uncompressed,"Agirrezabala, X., Samatova, E., Klimova, M., Zamora, M., Gil-Carton, D., Rodnina, M., Valle, M.",ELECTRON MICROSCOPY,3.6,15,FALSE,TRUE,TRUE
5UYL,70S ribosome bound with cognate ternary complex base-paired to A site codon (Structure II),http://files.rcsb.org/download/5UYL.cif.gz,(2017) Nature 546 113-117,http://www.rcsb.org/structure/5UYL,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5UYL&compressionType=uncompressed,"Loveland, A.B., Demo, G., Grigorieff, N., Korostelev, A.A.",ELECTRON MICROSCOPY,3.6,16,FALSE,TRUE,TRUE
5UYK,70S ribosome bound with cognate ternary complex not base-paired to A site codon (Structure I),http://files.rcsb.org/download/5UYK.cif.gz,(2017) Nature 546 113-117,http://www.rcsb.org/structure/5UYK,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5UYK&compressionType=uncompressed,"Loveland, A.B., Demo, G., Grigorieff, N., Korostelev, A.A.",ELECTRON MICROSCOPY,3.9,17,FALSE,TRUE,TRUE
5UYM,"70S ribosome bound with cognate ternary complex base-paired to A site codon, closed 30S (Structure III)",http://files.rcsb.org/download/5UYM.cif.gz,(2017) Nature 546 113-117,http://www.rcsb.org/structure/5UYM,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5UYM&compressionType=uncompressed,"Loveland, A.B., Demo, G., Grigorieff, N., Korostelev, A.A.",ELECTRON MICROSCOPY,3.2,18,FALSE,TRUE,TRUE
5UYN,70S ribosome bound with near-cognate ternary complex not base-paired to A site codon (Structure I-nc),http://files.rcsb.org/download/5UYN.cif.gz,(2017) Nature 546 113-117,http://www.rcsb.org/structure/5UYN,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5UYN&compressionType=uncompressed,"Loveland, A.B., Demo, G., Grigorieff, N., Korostelev, A.A.",ELECTRON MICROSCOPY,4,19,FALSE,TRUE,TRUE
5UYP,"70S ribosome bound with near-cognate ternary complex base-paired to A site codon, open 30S (Structure II-nc)",http://files.rcsb.org/download/5UYP.cif.gz,(2017) Nature 546 113-117,http://www.rcsb.org/structure/5UYP,http://www.rcsb.org/pdb/download/downloadFastaFiles.do?structureIdList=5UYP&compressionType=uncompressed,"Loveland, A.B., Demo, G., Grigorieff, N., Korostelev, A.A.",ELECTRON MICROSCOPY,3.9,20,FALSE,TRUE,TRUE
